iter	Passed	Remaining
970	10622	317
971	10631	306
972	10641	295
973	10651	284
974	10660	273
975	10669	262
976	10679	251
977	10688	240
978	10698	229
979	10708	218
980	10718	207
981	10727	196
982	10737	185
983	10746	174
984	10756	163
985	10764	152
986	10774	141
987	10783	130
988	10792	120
989	10802	109
990	10811	98
991	10820	87
992	10829	76
993	10838	65
994	10849	54
995	10858	43
996	10867	32
997	10877	21
998	10887	10
999	10895	0
